gene_id,tempResponsive,PIF7Dependent
AT1G04400,False,False
AT1G04410,False,False
AT1G04420,False,False
AT1G04425,False,False
AT1G04430,False,True
AT1G04440,False,False
AT1G04480,False,False
AT1G04510,False,False
AT1G04520,False,False
AT1G04530,False,False
AT1G04550,False,False
AT1G04555,False,False
AT1G04560,True,False
AT1G04590,False,False
AT1G04610,False,True
AT1G04620,False,False
AT1G04625,False,False
AT1G04630,False,False
AT1G04635,False,False
AT1G04640,False,False
AT1G04650,False,True
AT1G04680,False,True
AT1G04690,False,False
AT1G04700,False,False
AT1G04710,False,False
AT1G04730,False,False
AT1G04750,False,False
AT1G04760,False,False
AT1G04770,False,False
AT1G04778,True,True
AT1G04780,False,False
AT1G04790,False,False
AT1G04800,False,False
AT1G04810,False,False
AT1G04820,False,False
AT1G04830,False,False
AT1G04840,False,False
AT1G04850,False,False
AT1G04860,False,False
AT1G04870,False,False
AT1G04900,False,False
AT1G04910,False,False
AT1G04930,False,False
AT1G04940,False,False
AT1G04945,False,False
AT1G04950,False,False
AT1G04960,False,False
AT1G04970,False,False
AT1G04980,False,False
AT1G04985,False,False
AT1G04990,False,False
AT1G05000,False,False
AT1G05010,False,False
AT1G05020,False,False
AT1G05030,False,False
AT1G05055,False,False
AT1G05060,False,False
AT1G05065,False,True
AT1G05070,False,False
AT1G05090,False,False
AT1G05120,False,False
AT1G05135,False,False
AT1G05140,False,False
AT1G05150,False,False
AT1G05160,False,False
AT1G05170,False,False
AT1G05180,False,False
AT1G05190,False,False
AT1G05200,False,False
AT1G05205,False,False
AT1G05210,False,False
AT1G05220,False,False
AT1G05230,False,False
AT1G05240,False,False
AT1G05250,False,False
AT1G05260,False,True
AT1G05270,False,False
AT1G05280,False,False
AT1G05300,False,False
AT1G05310,False,False
AT1G05320,False,False
AT1G05340,False,False
AT1G05350,False,False
AT1G05360,False,False
AT1G05370,False,False
AT1G05380,False,False
AT1G05385,False,False
AT1G05400,False,False
AT1G05410,False,False
AT1G05420,False,True
AT1G05430,False,False
AT1G05440,False,False
AT1G05460,False,False
AT1G05470,False,False
AT1G05500,False,False
AT1G05520,False,False
AT1G05540,False,False
AT1G05560,False,False
AT1G05562,False,False
AT1G05570,False,False
AT1G05575,False,False
AT1G05590,False,False
AT1G05600,False,False
AT1G05620,False,False
AT1G05630,False,False
AT1G05640,False,False
AT1G05660,False,False
AT1G05670,False,False
AT1G05680,False,True
AT1G05690,False,False
AT1G05700,False,True
AT1G05710,False,False
AT1G05720,False,False
AT1G05730,False,False
AT1G05750,False,False
AT1G05760,False,False
AT1G05770,False,False
AT1G05780,False,False
AT1G05785,False,False
AT1G05790,False,False
AT1G05805,False,False
AT1G05810,False,False
AT1G05820,True,True
AT1G05830,False,False
AT1G05835,False,False
AT1G05840,False,False
AT1G05850,False,False
AT1G05860,False,False
AT1G05870,False,False
AT1G05890,False,False
AT1G05900,False,False
AT1G05910,False,False
AT1G05940,False,False
AT1G05950,False,False
AT1G05960,False,False
AT1G05970,False,False
AT1G06000,False,False
AT1G06002,False,False
AT1G06010,False,False
AT1G06040,False,False
AT1G06050,False,False
AT1G06060,False,False
AT1G06070,False,False
AT1G06080,True,True
AT1G06090,False,False
AT1G06100,False,False
AT1G06110,False,False
AT1G06120,False,False
AT1G06130,False,False
AT1G06140,False,False
AT1G06149,False,False
AT1G06150,False,False
AT1G06160,False,False
AT1G06180,False,False
AT1G06190,False,False
AT1G06200,False,False
AT1G06210,False,False
AT1G06220,False,False
AT1G06230,False,False
AT1G06240,False,False
AT1G06265,False,False
AT1G06270,False,False
AT1G06290,False,False
AT1G06350,False,True
AT1G06360,False,False
AT1G06370,False,False
AT1G06380,False,False
AT1G06390,False,False
AT1G06400,False,False
AT1G06410,False,False
AT1G06420,False,False
AT1G06430,False,False
AT1G06440,False,False
AT1G06450,False,False
AT1G06460,False,False
AT1G06470,False,False
AT1G06475,False,False
AT1G06490,False,False
AT1G06500,False,False
AT1G06510,False,False
AT1G06515,False,False
AT1G06520,False,False
AT1G06530,False,False
AT1G06540,False,False
AT1G06550,False,False
AT1G06560,False,False
AT1G06570,True,False
AT1G06580,False,False
AT1G06590,False,False
AT1G06620,False,False
AT1G06630,False,False
AT1G06640,False,False
AT1G06645,False,False
AT1G06650,False,False
AT1G06660,False,False
AT1G06670,False,False
AT1G06680,False,False
AT1G06690,False,False
AT1G06700,False,False
AT1G06710,False,False
AT1G06720,False,False
AT1G06730,False,False
AT1G06740,False,False
AT1G06760,False,False
AT1G06770,False,False
AT1G06780,False,False
AT1G06790,False,False
AT1G06800,False,False
AT1G06820,False,False
AT1G06830,False,False
AT1G06840,False,False
AT1G06850,False,False
AT1G06870,False,False
AT1G06890,False,False
AT1G06900,False,False
AT1G06910,False,False
AT1G06923,False,False
AT1G06950,False,False
AT1G06960,False,False
AT1G06980,False,False
AT1G07000,False,False
AT1G07010,False,False
AT1G07020,False,False
AT1G07030,False,False
AT1G07040,False,False
AT1G07050,False,False
AT1G07070,False,False
AT1G07080,False,False
AT1G07090,False,False
AT1G07110,False,False
AT1G07119,False,True
AT1G07128,False,False
AT1G07130,False,False
AT1G07135,False,False
AT1G07140,False,False
AT1G07150,False,False
AT1G07170,False,False
AT1G07175,False,False
AT1G07180,False,False
AT1G07200,False,False
AT1G07210,False,False
AT1G07220,False,False
AT1G07230,False,False
AT1G07240,False,False
AT1G07250,False,False
AT1G07260,False,False
AT1G07270,False,False
AT1G07280,False,False
AT1G07290,False,False
AT1G07300,False,False
AT1G07310,False,False
AT1G07320,False,False
AT1G07350,True,False
AT1G07360,False,False
AT1G07370,False,False
AT1G07380,False,False
AT1G07390,False,False
AT1G07400,True,True
AT1G07410,False,True
AT1G07420,False,False
AT1G07440,True,False
AT1G07450,False,False
AT1G07470,False,False
AT1G07480,False,False
AT1G07485,False,False
AT1G07490,False,False
AT1G07500,True,True
AT1G07510,False,False
AT1G07520,False,False
AT1G07530,False,False
AT1G07550,False,False
AT1G07560,False,False
AT1G07570,False,False
AT1G07590,False,False
AT1G07600,False,False
AT1G07610,False,True
AT1G07615,False,False
AT1G07620,False,False
AT1G07630,False,False
AT1G07640,False,False
AT1G07650,False,False
AT1G07660,False,False
AT1G07670,False,False
AT1G07700,False,False
AT1G07705,False,False
AT1G07720,False,False
AT1G07728,False,False
AT1G07730,False,False
AT1G07740,False,False
AT1G07745,False,False
AT1G07750,False,False
AT1G07770,False,False
AT1G07780,False,False
AT1G07790,False,False
AT1G07810,False,False
AT1G07820,False,False
AT1G07830,False,False
AT1G07840,False,False
AT1G07870,False,False
AT1G07880,False,False
AT1G07890,False,False
AT1G07901,False,False
AT1G07910,False,False
AT1G07920,False,False
AT1G07930,False,False
AT1G07940,False,False
AT1G07950,False,False
AT1G07960,False,False
AT1G07970,False,False
AT1G07980,False,False
AT1G07985,False,False
AT1G07990,False,False
AT1G08000,False,False
AT1G08005,False,False
AT1G08010,False,False
AT1G08030,False,False
AT1G08040,False,False
AT1G08050,False,False
AT1G08060,False,False
AT1G08070,False,False
AT1G08110,False,False
AT1G08115,True,False
AT1G08125,False,False
AT1G08130,False,False
AT1G08160,False,False
AT1G08165,False,False
AT1G08180,False,False
AT1G08190,False,False
AT1G08200,False,False
AT1G08210,False,False
AT1G08220,False,False
AT1G08230,False,False
AT1G08250,False,False
AT1G08260,False,False
AT1G08270,False,False
AT1G08280,False,False
AT1G08290,False,False
AT1G08300,True,False
AT1G08310,False,False
AT1G08315,False,False
AT1G08320,False,False
AT1G08340,False,False
AT1G08350,False,False
AT1G08360,False,False
AT1G08370,False,False
AT1G08380,False,False
AT1G08390,False,False
AT1G08400,False,False
AT1G08410,False,False
AT1G08420,False,False
AT1G08430,False,True
AT1G08450,False,False
AT1G08460,False,False
AT1G08465,False,False
AT1G08470,False,False
AT1G08480,False,False
AT1G08490,False,False
AT1G08500,False,False
AT1G08510,False,False
AT1G08520,False,False
AT1G08530,False,False
AT1G08540,False,False
AT1G08550,False,False
AT1G08560,False,False
AT1G08570,False,False
AT1G08580,False,False
AT1G08590,False,False
AT1G08592,False,False
AT1G08600,False,False
AT1G08610,False,False
AT1G08620,False,False
AT1G08630,True,True
AT1G08640,False,False
AT1G08650,False,False
AT1G08660,False,False
AT1G08670,False,False
AT1G08680,False,False
AT1G08700,False,False
AT1G08710,False,False
AT1G08720,False,False
AT1G08750,False,False
AT1G08760,False,False
AT1G08770,False,False
AT1G08780,False,False
AT1G08800,False,False
AT1G08810,False,False
AT1G08820,False,False
AT1G08830,False,False
AT1G08840,False,False
AT1G08845,False,False
AT1G08880,False,False
AT1G08890,False,False
AT1G08900,False,False
AT1G08910,False,False
AT1G08920,False,False
AT1G08930,False,False
AT1G08940,False,False
AT1G08960,False,False
AT1G08970,False,False
AT1G08980,False,False
AT1G08990,False,False
AT1G09000,False,False
AT1G09010,False,False
AT1G09020,False,False
