,ind1,ind2,indAll,indAny,indnot1,indnot2,ind1=tempResponsive,ind2=PIF7Dependent
298,AT3G07010,AT5G66310,AT5G39860,AT3G12610,AT5G55950,AT2G32340,,
299,AT1G76410,AT4G19460,AT5G54165,AT5G03760,AT3G47980,AT5G08770,,
300,AT1G61667,ATCG00350,AT5G51670,AT4G21650,AT5G66800,AT1G65970,,
301,AT5G64180,AT5G05960,AT3G58850,AT1G80340,AT2G40200,AT1G53785,,
302,AT2G29340,AT1G70920,AT4G16780,AT5G13900,AT2G22860,AT5G10100,,
303,AT5G43270,AT3G54200,AT4G16260,AT3G14940,ATMG00516,AT1G72820,,
304,AT5G14920,AT1G03620,AT4G18970,AT4G24265,AT1G30515,AT5G39160,,
305,ATMG00830,AT5G35525,AT3G48970,AT5G46330,AT3G13950,AT2G45450,,
306,AT2G36950,AT5G52882,AT1G78490,AT3G12110,AT1G32385,AT1G08300,,
307,AT4G10310,AT5G63810,AT5G61660,AT4G13040,AT1G30510,AT4G20870,,
308,AT5G08185,AT3G45960,AT3G23635,AT5G03230,AT3G45140,AT5G66590,,
309,AT3G11600,AT2G36870,AT1G52750,AT4G14380,AT5G42180,AT2G18150,,
310,AT3G21670,AT5G43700,AT3G50460,AT3G55420,AT4G15165,AT4G28240,,
311,AT5G42680,AT1G15380,AT2G38480,AT1G70170,AT1G44800,AT2G38120,,
312,AT5G48850,AT3G49820,AT5G42655,AT5G08150,AT3G19200,AT3G47347,,
313,AT1G72770,AT1G15050,AT1G70985,AT1G34670,AT3G50800,AT3G58450,,
314,AT5G44260,AT1G76410,AT1G03870,AT1G04680,AT5G53815,AT3G51220,,
315,AT2G14890,AT4G23690,AT5G25450,AT4G39210,AT1G18710,AT2G33060,,
316,AT4G34540,AT5G43620,AT3G21330,AT3G53480,AT2G18380,AT5G16110,,
317,AT3G54510,AT1G74430,AT5G23155,AT1G74650,AT2G41820,AT2G47930,,
318,AT1G15790,AT5G57920,AT2G21200,AT1G20700,AT5G57770,AT3G29670,,
319,AT2G20723,AT1G04220,AT1G25230,AT5G10230,AT2G43670,AT4G13340,,
320,AT5G52120,AT5G14920,AT2G21540,AT4G33280,AT5G65710,AT1G65370,,
321,AT2G25770,ATMG00830,AT5G13790,AT4G00050,AT4G18630,AT5G66110,,
322,AT4G34770,AT5G16350,AT3G49160,AT1G05260,AT4G37730,AT5G58770,,
323,AT4G00380,AT3G01260,AT1G04180,AT5G57790,AT1G14460,AT5G02020,,
324,AT3G04960,AT1G11185,,AT5G14780,AT3G07425,AT5G03120,,
325,AT5G65730,AT5G48310,,AT2G32870,AT3G28220,AT4G38700,,
326,AT3G11690,AT3G63050,,AT3G62270,AT4G12740,AT1G71990,,
327,AT1G33640,AT5G44260,,AT1G25098,AT5G54790,AT1G76960,,
328,AT5G20270,AT2G14890,,AT4G14560,AT5G43950,AT2G07042,,
329,AT4G01335,AT5G64660,,AT3G17520,AT1G10682,AT1G53690,,
330,AT1G08300,AT3G09710,,AT4G38850,AT2G33380,AT2G32150,,
331,AT2G15580,AT1G15790,,AT4G04630,AT5G58550,AT2G45920,,
332,AT5G14390,ATCG00210,,AT2G35300,AT5G01790,AT4G15765,,
333,AT1G13790,AT1G67900,,AT2G44910,AT3G27290,AT3G20540,,
334,AT1G07400,AT5G27000,,AT1G53730,AT5G02750,AT4G15760,,
335,AT1G70250,AT2G25770,,ATMG00580,AT5G63790,AT4G35770,,
336,AT5G57340,AT1G53500,,AT3G02240,AT2G37530,AT5G06970,,
337,AT2G43050,AT1G20440,,AT1G24148,AT1G11080,AT2G40530,,
338,AT1G43790,AT3G14260,,AT4G18290,AT1G55265,AT3G05910,,
339,AT4G12400,AT1G68690,,AT2G34650,AT1G13590,AT4G23870,,
340,AT5G23840,AT2G34650,,AT1G78265,AT1G29020,AT2G42380,,
341,AT2G23000,AT4G13310,,AT2G29460,AT3G49380,AT3G13277,,
342,AT5G42655,AT5G07150,,AT5G15780,AT4G38770,AT2G44130,,
343,AT5G47560,ATCG01060,,AT2G05300,AT4G37553,AT2G47630,,
344,AT4G33420,AT5G66840,,AT2G12400,AT5G17920,AT5G18340,,
345,AT5G10180,AT5G64330,,AT4G30410,AT2G32560,AT4G33660,,
346,AT2G07765,ATCG00040,,AT2G29300,ATCG00940,AT2G47440,,
347,AT5G25460,AT5G62280,,AT3G16920,AT5G06480,AT3G59930,,
348,AT1G60060,AT2G24190,,AT1G20015,AT4G17680,AT4G25200,,
349,AT2G18050,AT1G07400,,AT3G62570,AT5G01180,AT5G19190,,
350,AT2G47880,AT5G57340,,AT1G35516,AT4G39955,AT5G08600,,
351,AT1G62290,AT1G52410,,AT3G11550,AT4G03190,AT2G40170,,
352,AT3G28200,AT3G21890,,AT3G48700,AT5G45275,AT1G23120,,
353,AT5G02540,AT5G51060,,AT2G39450,AT1G62920,AT1G61275,,
354,AT5G60020,AT1G32690,,AT5G18030,AT1G78340,AT1G79620,,
355,AT4G22200,AT1G69160,,AT2G26530,AT5G49120,AT2G22980,,
356,AT2G01430,AT3G08660,,AT1G53540,AT1G76650,AT3G51895,,
357,AT5G12020,AT1G64330,,AT2G45290,AT5G45070,AT4G25800,,
358,AT4G34260,AT3G05880,,AT2G28780,AT2G36080,AT5G14840,,
359,AT3G49220,ATCG00720,,AT2G32030,ATCG00220,AT2G32120,,
360,AT3G02620,AT3G21510,,AT2G41170,AT1G48100,AT2G38530,,
361,AT2G41312,AT5G25460,,AT5G55950,AT1G75590,AT4G08360,,
362,AT5G03760,AT1G60060,,AT5G08770,AT1G67570,AT1G55310,,
363,AT5G66650,AT4G11190,,AT1G53785,AT5G64330,AT2G47180,,
364,AT4G36600,ATMG00640,,AT3G18850,AT1G59730,AT3G50570,,
365,AT4G08150,AT5G02540,,AT4G31730,AT1G52280,AT5G22860,,
366,AT1G72180,AT1G62660,,AT2G22860,AT1G75450,AT3G04350,,
367,AT1G68560,AT4G32280,,ATMG00516,AT3G57700,AT1G58070,,
368,AT5G41470,AT2G36750,,AT2G45450,AT5G44670,AT2G17650,,
369,AT2G38530,AT3G60290,,AT2G44500,AT4G12090,AT2G24762,,
370,AT1G13245,AT3G50840,,AT1G32385,AT3G53880,AT5G64510,,
371,AT1G29500,AT1G68600,,AT2G21100,AT4G15340,AT4G36850,,
372,AT5G06720,AT4G39210,,AT4G20870,AT1G04240,AT3G24500,,
373,AT1G52830,AT5G47240,,AT5G46730,AT5G36925,AT1G17460,,
374,AT2G19580,AT5G03760,,AT5G66590,AT5G05850,AT1G49200,,
375,AT2G23672,AT4G08150,,AT3G23635,AT1G01200,AT1G67590,,
376,AT5G03230,AT1G72180,,AT2G18150,AT3G20640,AT5G05690,,
377,AT3G52060,AT1G68560,,AT1G21830,AT3G57157,AT5G25240,,
378,AT3G55420,AT1G80340,,AT2G38120,AT2G47200,AT3G20083,,
379,AT5G08150,AT5G13900,,AT2G18010,AT5G40100,AT3G08970,,
380,AT2G47780,AT3G14940,,AT1G72230,AT1G05065,AT2G21430,,
381,AT4G17460,AT1G12110,,AT1G44800,AT3G09405,AT3G10113,,
382,AT3G53040,AT3G54030,,AT3G19200,AT2G40090,AT5G25110,,
383,AT5G60650,AT1G29500,,AT5G39865,AT1G59850,AT3G16770,,
384,AT5G24206,AT2G40370,,AT3G58450,AT2G27660,AT2G42040,,
385,AT5G24160,AT1G52830,,AT1G76160,ATCG01100,AT1G68862,,
386,AT1G01620,AT3G12110,,AT5G39860,AT2G02820,AT3G57410,,
387,AT5G42200,AT4G38825,,AT2G46590,AT3G49110,AT1G27420,,
388,AT1G20700,AT4G14380,,AT3G51220,AT3G27070,AT5G63190,,
389,AT2G47770,AT1G70170,,AT2G18380,AT5G44980,AT1G14120,,
390,AT3G10740,AT2G23170,,AT5G57770,AT1G31280,AT1G04560,,
391,AT4G36730,AT5G18010,,AT1G78490,ATCG00350,AT2G33250,,
392,AT1G32100,AT3G15340,,AT2G47930,AT2G22821,AT1G70830,,
393,AT4G21020,AT2G47780,,AT4G18630,AT2G39130,AT4G02005,,
394,AT1G32450,AT5G65390,,AT3G29670,AT3G06890,AT1G64500,,
395,AT1G35516,AT4G22840,,AT1G14460,AT1G60270,AT5G05420,,
396,AT5G39850,AT1G34670,,AT5G66110,AT5G56080,AT3G54500,,
397,AT5G57790,AT5G37790,,AT3G07425,AT2G37580,AT1G14280,,
398,AT1G06080,AT5G24206,,AT1G25230,AT5G59320,AT1G73165,,
399,AT2G32870,AT3G12610,,AT3G28160,AT3G22600,AT3G13437,,
400,AT1G25098,AT5G24160,,AT3G49160,AT5G49370,AT1G20470,,
401,AT4G14560,AT3G53480,,AT1G04180,AT3G20340,AT3G27630,,
402,AT1G59860,AT5G42250,,AT3G08660,AT5G44350,AT3G15670,,
403,AT4G14380,AT1G74650,,AT1G28570,AT3G25190,AT3G61800,,
404,AT1G04180,AT2G40475,,AT5G12110,AT3G56230,AT4G32480,,
405,AT5G40420,AT1G20700,,AT2G33380,AT2G36885,ATMG01370,,
406,AT3G58120,AT4G33280,,AT2G07042,AT2G32990,AT1G63295,,
407,AT4G38850,AT5G54165,,AT5G01790,AT1G29195,AT3G01970,,
408,AT4G04630,AT5G60020,,AT3G27290,AT1G29660,AT5G19120,,
409,AT2G35300,AT2G23010,,AT1G14480,AT1G26945,AT3G49570,,
410,AT2G44910,AT1G06080,,AT2G32150,AT1G78450,AT2G45960,,
411,AT1G53730,AT5G51670,,AT2G45920,AT2G20750,AT4G13280,,
412,AT5G24155,AT2G40200,,AT4G15765,AT1G76690,AT2G07774,,
413,AT4G33120,AT5G48150,,AT2G37530,AT4G20230,AT1G80440,,
414,ATMG00580,AT3G62270,,AT4G15760,AT1G75030,AT2G07777,,
415,AT1G51580,AT3G20110,,AT5G59090,AT5G66390,AT5G02490,,
416,AT1G02340,AT4G14560,,AT2G40530,AT1G65920,AT2G07671,,
417,ATMG00180,AT1G26560,,AT1G13590,AT1G14540,AT5G09540,,
418,AT5G06510,AT1G04180,,AT1G14870,AT1G21980,AT4G14930,,
419,AT1G78265,AT1G28570,,AT3G49380,AT1G63420,AT4G18670,,
420,AT5G15780,AT4G38850,,AT4G23870,AT1G80280,AT2G36040,,
421,AT2G46780,AT1G09250,,AT4G09160,AT2G46640,AT1G45229,,
422,AT2G05300,AT4G32460,,AT5G17920,AT5G06730,AT5G12030,,
423,AT5G01740,AT5G41060,,AT2G44130,AT3G01750,AT2G36120,,
424,AT4G30410,AT3G02240,,AT2G47630,AT5G23020,AT3G11700,,
425,AT5G01210,AT1G51580,,AT5G59845,AT1G07410,AT3G14200,,
426,AT3G50340,AT1G02340,,AT1G29430,AT5G25370,AT2G43620,,
427,AT2G29300,AT5G37550,,AT2G47560,AT1G02850,AT1G69080,,
428,AT3G16920,ATCG00070,,AT5G06480,AT2G32190,AT2G01190,,
429,AT2G05510,AT2G29460,,AT4G17680,AT2G02120,AT3G10985,,
430,AT1G20015,AT5G15780,,AT2G47440,AT1G59710,ATMG01090,,
431,AT3G62570,AT2G46780,,AT4G25200,AT4G27970,AT3G60910,,
432,AT4G13290,AT2G12400,,AT1G23120,AT1G69070,AT3G02110,,
433,AT1G16390,AT5G01210,,AT3G03820,AT3G54400,AT5G58340,,
434,AT5G18030,AT3G50340,,AT4G03190,AT2G35742,AT3G52720,,
435,AT5G06280,AT1G55040,,AT1G79620,AT2G18690,AT2G15020,,
436,AT5G64552,AT3G09405,,AT3G51895,AT5G43540,AT1G13080,,
437,AT2G37060,AT1G76690,,AT5G14840,AT3G57740,AT4G09460,,
438,AT5G40250,AT5G41140,,AT1G76650,AT1G43910,AT3G53100,,
439,AT1G67650,AT3G62570,,AT2G32120,AT2G24540,AT3G63088,,
440,AT5G57560,AT3G11550,,AT5G14920,AT1G75780,AT1G69490,,
441,AT1G55960,AT3G48700,,AT1G11000,AT2G26710,AT1G01920,,
442,AT1G53540,AT5G18030,,AT4G08360,AT1G01580,AT1G11270,,
443,AT2G32340,AT4G25560,,AT1G55310,AT1G80130,AT2G07707,,
444,AT2G28780,AT2G47160,,AT2G47180,AT1G56320,AT5G43330,,
445,AT4G19170,AT5G40090,,AT5G64330,AT4G12320,AT1G35660,,
446,AT5G66310,AT2G45290,,AT1G09180,AT4G21310,AT5G58360,,
447,AT5G14780,AT2G28780,,AT3G50570,AT3G57940,AT2G34490,,
448,AT2G41170,AT5G13700,,AT1G59730,AT3G52680,AT4G15710,,
449,AT5G08770,AT2G41170,,AT1G52280,AT4G13750,AT5G03990,,
450,AT1G09570,AT3G01513,,AT3G04350,AT3G07000,ATMG00180,,
451,AT4G25780,AT5G63650,,AT1G78970,AT5G62040,AT2G20670,,
452,AT1G65970,AT1G09570,,AT1G58070,AT5G35995,AT3G06750,,
453,AT1G53785,AT3G47980,,AT5G44670,AT3G61460,AT5G05430,,
454,AT1G65500,AT3G18850,,AT4G12090,AT2G36100,AT1G18330,,
455,AT1G72820,AT4G28040,,AT3G53880,AT1G28685,AT4G19530,,
456,AT5G15290,AT2G20835,,AT1G12080,AT1G27620,AT2G33810,,
457,AT3G06125,AT2G22860,,AT2G24762,AT1G02400,AT1G26208,,
458,AT2G45450,ATMG00516,,AT5G64510,AT1G76610,AT3G04740,,
459,AT5G07000,AT1G30515,,AT3G20640,AT3G28300,AT3G55240,,
460,AT2G44500,AT3G13950,,AT3G57157,AT1G63730,AT3G17100,,
461,AT4G20870,AT2G44500,,AT2G47200,AT5G52310,AT1G58150,,
462,AT5G46730,AT1G32385,,AT1G29440,AT2G47060,AT5G40020,,
463,AT5G66590,AT1G30510,,AT3G09405,AT1G56550,AT1G23052,,
464,AT3G23635,AT5G53980,,AT3G24500,AT1G75490,AT3G06125,,
465,AT2G18150,AT5G22500,,AT1G17460,AT3G13610,AT3G02370,,
466,AT5G50335,AT3G23635,,AT1G04430,AT3G23090,AT3G26510,,
467,AT1G78060,AT1G21830,,AT1G67590,AT5G22310,ATMG00590,,
468,AT4G28240,AT5G23155,,AT5G05690,AT1G04610,AT1G76460,,
469,AT2G38120,AT2G36080,,AT2G32300,AT1G67148,AT1G26800,,
470,AT2G18010,AT5G42180,,AT3G20083,AT1G64760,AT2G35880,,
471,AT1G72230,AT2G18010,,AT5G53980,AT1G17700,AT1G76500,,
472,AT5G58770,AT1G72230,,AT3G08970,AT4G09300,AT3G26450,,
473,AT1G31770,AT1G44800,,AT2G02820,AT5G08260,AT3G16910,,
474,AT3G47347,AT1G31770,,AT5G03545,AT1G53700,AT5G42445,,
475,AT3G47340,AT3G50800,,AT5G44980,AT2G47160,AT3G07350,,
476,AT5G39860,AT5G53815,,AT3G10113,AT1G78570,AT2G07811,,
477,AT5G13490,AT5G39860,,AT5G25110,AT1G15310,ATMG00690,,
478,AT3G51220,AT2G18380,,AT5G02200,AT5G14700,AT3G04730,,
479,AT5G45820,AT2G41820,,AT5G53144,AT1G68825,AT5G37670,,
480,AT2G33060,AT5G57770,,AT1G68862,AT5G01730,AT4G10310,,
481,AT1G78490,AT1G78490,,AT5G11540,AT5G26270,AT1G30760,,
482,AT1G69490,AT2G43670,,AT1G67050,AT1G63300,AT4G24450,,
483,AT2G40610,AT2G40610,,AT1G35140,AT5G14130,AT4G00380,,
484,AT3G29670,AT4G18630,,AT5G03150,ATCG00530,AT5G65730,,
485,AT4G13340,AT4G37730,,AT1G53500,AT3G16340,AT5G20270,,
486,AT1G70985,AT1G70985,,AT5G44350,AT3G55740,AT3G62720,,
487,AT3G30180,AT3G30180,,AT3G25190,AT3G16610,AT3G21720,,
488,AT1G70980,ATMG00060,,AT3G53310,AT4G24510,ATMG01000,,
489,AT5G25490,AT3G07425,,AT1G64500,AT3G24255,AT3G03450,,
490,AT1G25230,AT4G35720,,AT1G29195,AT5G24655,AT3G44310,,
491,AT3G28160,AT1G25230,,AT1G12013,AT1G12110,AT2G43060,,
492,AT5G02020,AT5G13790,,AT4G22840,AT4G24265,AT4G39480,,
493,AT3G49160,AT4G12740,,AT3G53250,AT1G18610,AT3G46450,,
494,AT2G21540,AT3G49160,,AT2G37030,AT5G37790,AT3G17626,,
495,AT4G38700,AT2G21540,,AT3G54500,AT5G10890,AT3G54260,,
496,AT1G71990,AT5G54790,,AT1G70940,AT3G61680,AT4G17250,,
497,AT5G12110,AT3G61750,,AT3G13437,ATCG00030,AT1G23020,,
498,AT1G76960,AT1G10682,,AT1G20470,AT2G39450,AT2G36490,,
499,AT2G07042,AT2G44910,,ATCG00530,AT2G26530,ATMG00250,,
500,AT1G53690,AT1G65310,,AT2G40270,AT2G34070,AT3G13965,,
501,AT4G10150,AT5G07010,,AT3G15670,AT1G14370,AT5G66460,,
502,AT2G14900,AT2G33380,,AT1G75030,AT4G33010,AT5G59440,,
503,AT3G10113,AT5G58550,,AT4G32480,AT1G76160,AT1G71696,,
504,AT1G14480,AT2G14900,,AT1G65920,AT4G21890,AT3G21805,,
505,AT2G32150,AT2G34260,,AT1G80520,AT4G11890,AT5G48920,,
506,AT2G45920,AT5G02750,,AT1G63295,AT1G31580,AT4G18580,,
507,AT4G15765,AT5G63820,,AT3G01970,AT3G08040,AT1G58030,,
508,AT3G20540,AT1G14480,,AT1G80280,AT1G14870,AT5G02230,,
509,AT4G15760,AT5G63790,,AT2G46640,AT1G06350,AT3G28160,,
510,AT3G13520,AT2G37530,,AT5G06730,AT2G39220,AT5G47610,,
511,AT5G06970,AT5G59090,,AT3G01750,AT1G11000,AT4G21320,,
512,AT1G69600,AT1G11080,,AT4G21890,AT1G21840,AT1G30500,,
513,AT4G38825,AT1G55265,,AT5G10605,AT1G04430,AT1G27410,,
514,AT3G12710,AT3G12710,,AT1G10800,AT3G23810,AT5G62490,,
515,AT3G05910,AT1G13590,,AT1G07410,AT3G47400,AT1G78110,,
516,AT5G13170,AT1G29020,,AT1G76460,AT1G79460,AT5G21970,,
517,AT4G23870,AT5G13170,,AT3G06990,AT4G09890,AT2G21185,,
518,AT4G09160,AT1G07119,,AT3G01470,AT3G55060,AT5G39850,,
519,AT1G20620,AT4G38770,,AT4G27970,AT1G49860,AT5G65380,,
520,AT5G62220,AT4G09160,,AT4G13280,AT5G02190,AT5G02560,,
521,AT3G13277,AT4G37553,,AT2G07774,AT4G05110,AT2G31110,,
522,AT2G44130,AT5G17920,,AT3G53403,AT5G41400,AT4G28390,,
523,AT1G07440,AT5G62220,,AT3G05890,AT1G14080,AT1G45015,,
524,AT5G18340,AT2G32560,,AT2G07777,AT4G31590,AT3G58930,,
525,AT4G26990,AT5G13330,,AT5G02490,AT5G65320,AT5G67430,,
526,AT1G29430,AT4G26990,,AT1G43910,AT2G23200,AT2G27580,,
527,AT2G47560,AT1G29430,,AT2G07671,AT2G47750,AT1G75100,,
528,AT2G47440,AT2G47560,,AT2G24540,AT1G13430,AT5G66040,,
529,AT4G21650,AT5G06480,,AT1G75780,AT4G36060,AT1G07350,,
530,AT3G59930,AT4G17680,,AT5G06930,AT1G03820,AT4G23493,,
531,AT4G25200,AT4G38400,,AT2G26710,AT5G59010,AT1G65500,,
532,AT5G60850,AT5G01180,,AT5G12030,AT5G10230,AT1G20620,,
533,AT5G19190,AT3G25717,,AT5G02810,AT3G60420,AT4G00720,,
534,AT5G08600,AT4G39955,,AT1G80130,AT5G50915,AT5G25280,,
535,AT1G24148,AT2G21320,,AT3G14200,AT3G28340,AT1G67365,,
536,AT1G23120,AT3G03820,,AT2G43620,AT1G69810,AT1G66180,,
537,AT3G03820,AT3G15095,,AT2G28270,AT4G10940,AT1G14700,,
538,AT1G61275,AT4G16610,,AT3G10985,AT4G14750,AT4G31730,,
539,AT1G79620,AT5G45275,,AT4G21310,AT5G41040,AT1G03410,,
540,AT1G68862,AT1G62920,,AT3G13980,AT3G22820,AT5G07330,,
541,AT3G51895,AT3G28180,,AT4G23493,AT5G38280,AT2G26150,,
542,AT4G38860,AT4G18290,,AT5G58340,AT2G39830,ATMG00780,,
543,AT4G25800,AT1G62840,,AT3G52720,AT4G15450,AT3G23510,,
544,AT5G14840,AT4G38860,,AT3G07000,AT4G08770,AT5G55410,,
545,AT2G32120,AT5G49120,,AT5G62040,AT2G42540,AT2G07747,,
546,AT2G07826,AT1G76650,,AT3G61460,AT1G35830,AT4G32670,,
547,AT3G57410,AT2G21100,,AT2G21200,AT2G04780,AT3G05900,,
548,AT4G08360,AT2G07826,,AT2G11891,AT5G38770,AT5G51390,,
549,AT1G55310,AT1G08430,,AT5G62280,AT1G30935,AT2G42620,,
550,AT2G47180,ATCG00220,,AT3G53100,AT1G69880,AT2G23985,,
551,AT5G38200,AT2G30210,,AT1G45229,AT5G35110,AT4G27260,,
552,AT1G09180,AT4G34770,,AT1G01920,AT4G17280,AT1G13050,,
553,AT3G50570,AT1G75590,,AT1G11270,AT3G60390,AT1G47980,,
554,AT5G22860,AT1G67570,,AT2G07707,AT5G47380,AT1G22640,,
555,AT3G04350,AT4G29310,,AT3G28300,AT3G51060,AT3G28860,,
556,AT1G78970,AT5G38200,,AT2G34490,AT1G68850,AT5G15210,,
557,AT1G58070,AT1G09180,,AT2G37060,AT5G45280,AT1G48320,,
558,AT5G22580,AT1G59730,,AT1G36940,AT1G17180,AT5G08220,,
559,AT5G04190,AT1G52280,,ATMG00180,AT3G49820,AT1G48750,,
560,AT2G17650,AT1G75450,,AT1G75490,AT3G16890,AT4G17440,,
561,AT1G12080,AT1G78970,,AT2G38090,AT5G56230,AT1G02390,,
562,AT2G24762,AT5G22580,,AT3G06750,AT3G41761,AT5G47000,,
563,AT5G64510,AT5G04190,,AT5G22310,AT4G22840,AT1G10740,,
564,AT3G12120,AT5G44670,,AT1G04610,AT1G03200,AT1G27670,,
565,AT1G29440,AT4G12090,,AT4G19530,AT1G53635,AT3G50560,,
566,AT4G36850,AT3G53880,,AT1G26208,AT1G76620,AT4G24700,,
567,AT3G24500,AT1G12080,,AT3G55240,AT1G62260,AT5G05290,,
568,AT1G17460,AT4G15340,,AT3G17100,AT2G42530,AT1G69600,,
569,AT2G31110,AT1G04240,,AT5G08260,AT3G54040,AT3G19620,,
570,AT1G67590,AT5G36925,,AT1G53700,AT3G55840,AT1G22160,,
571,AT5G05690,AT5G05850,,AT3G59900,AT1G79320,AT1G06570,,
572,AT3G19380,AT1G01200,,AT1G73780,AT5G17780,AT5G44660,,
573,AT2G32300,AT3G20640,,AT3G06125,AT1G17170,AT5G64170,,
574,AT3G20083,AT3G57157,,AT1G78570,AT4G30280,AT1G62510,,
575,AT5G53980,AT2G47200,,AT3G02370,AT5G36910,AT5G15850,,
576,AT3G08970,AT1G29440,,AT3G26510,AT5G20230,AT3G24100,,
577,AT2G21430,AT3G03520,,ATMG00590,AT3G14440,AT3G53830,,
578,AT5G03150,AT1G59850,,AT2G38480,AT2G47270,AT2G29340,,
579,AT5G03545,AT3G19380,,AT3G21330,AT3G46490,AT4G38932,,
580,AT2G39310,AT2G32300,,AT4G25780,AT3G14560,AT5G62100,,
581,AT5G25110,AT5G15290,,AT1G05820,AT2G26570,AT1G79760,,
582,AT2G06850,AT2G27660,,AT5G14700,AT3G59220,AT3G26520,,
583,AT3G16770,AT5G01740,,AT5G42445,AT1G23060,AT1G26780,,
584,AT5G02200,ATCG01100,,AT3G42800,AT3G24450,AT2G45400,,
585,AT5G53144,AT2G02820,,AT1G15050,AT1G21830,AT4G26288,,
586,AT2G42040,AT5G03150,,AT2G07811,AT5G49380,AT1G64720,,
587,AT2G22980,AT3G27070,,ATMG00690,AT1G68360,AT1G73190,,
588,AT5G11540,AT5G44980,,AT5G26270,AT2G35850,AT1G01430,,
589,AT1G67050,AT1G31280,,AT5G37670,AT4G31000,AT4G15800,,
590,AT1G35140,AT2G06850,,AT4G10310,AT3G05490,AT3G59690,,
591,AT5G47830,AT2G22821,,AT5G14130,AT4G30060,AT4G27640,,
592,AT5G63190,AT2G39130,,AT4G08300,AT1G05700,AT3G57400,,
593,AT1G14120,AT3G06890,,AT3G49780,AT2G22830,AT5G66480,,
594,AT4G25760,AT1G60270,,AT3G16340,ATCG00360,AT1G14520,,
595,AT1G04560,AT5G11540,,AT3G62720,ATCG00280,AT4G02540,,
596,AT5G67430,AT1G67050,,AT5G42040,AT1G04650,AT3G62070,,
597,AT3G53310,AT1G35140,,AT5G24655,AT5G41900,AT1G19396,,
598,AT1G14280,AT5G56080,,AT3G03450,AT2G04040,AT2G46250,,
599,AT4G01593,AT2G37580,,AT1G73120,AT5G11110,AT2G25090,,
600,AT1G12013,AT3G49110,,AT3G44310,AT1G09812,AT2G25095,,
601,AT4G02005,AT3G22600,,AT1G18610,AT4G16610,AT3G19470,,
602,AT3G62040,AT5G49370,,AT4G39480,AT2G15490,AT1G49320,,
603,AT3G53250,AT3G20340,,AT5G37790,AT5G07110,AT5G03285,,
604,AT2G37030,AT5G44350,,AT3G17626,AT3G44990,AT1G18620,,
605,AT3G54500,AT3G25190,,AT5G10890,AT4G19690,AT4G36520,,
606,AT1G64500,AT3G53310,,AT2G36490,AT2G43290,AT3G49580,,
607,AT1G73165,AT2G36885,,AT3G61680,AT1G05680,AT5G44190,,
608,AT5G16600,AT2G32990,,ATCG00030,AT4G22850,AT3G47340,,
609,AT1G70940,AT1G29195,,AT3G13965,AT2G37040,AT5G19875,,
610,AT3G13437,AT1G12013,,AT5G66460,AT5G13330,AT5G23750,,
611,AT1G20470,AT1G29660,,AT4G29310,AT5G09350,AT2G46810,,
612,AT3G27630,AT3G62040,,AT3G28340,AT4G21390,AT4G21880,,
613,AT3G15670,AT3G53250,,AT2G34070,AT5G59530,AT4G28270,,
614,AT3G61800,AT1G78450,,AT1G14370,AT5G09978,AT3G10740,,
615,AT4G32480,AT5G11100,,AT5G23155,AT5G59240,AT5G49700,,
616,AT1G78750,AT2G20750,,AT4G11890,AT1G12090,AT2G35820,,
617,ATMG01370,AT5G20730,,AT2G42800,AT2G45470,AT5G45820,,
618,AT1G63295,AT1G70940,,AT1G73830,AT2G34020,AT4G13290,,
619,AT3G01970,AT5G12020,,AT3G08040,AT3G48610,AT5G08185,,
620,AT4G16515,AT2G40270,,AT5G47610,AT2G39010,AT4G27860,,
621,AT1G10800,AT4G20230,,AT5G12940,AT5G47540,AT2G26110,,
622,AT4G33660,AT1G75030,,AT1G27410,AT5G45950,AT1G30570,,
623,AT3G49570,AT5G66390,,AT2G39220,AT1G05420,AT3G05250,,
624,AT3G06990,AT5G25380,,AT2G36080,ATCG00710,AT3G45160,,
625,AT2G45960,AT1G65920,,AT5G39850,AT1G11540,AT5G27660,,
626,AT3G01470,AT1G78750,,AT1G44970,AT2G29480,AT2G07663,,
627,AT1G23970,AT1G14540,,AT1G21840,AT5G46240,AT5G58590,,
628,AT2G07774,AT1G21980,,AT5G55410,AT4G29990,AT5G57550,,
629,AT3G53403,AT1G63420,,AT2G31110,AT4G35720,AT1G47655,,
630,AT3G05890,AT1G80280,,AT5G18050,AT4G39320,AT3G50980,,
631,AT2G07777,AT2G46640,,AT3G58930,AT3G06590,AT3G14620,,
632,AT4G15550,AT5G06730,,AT5G67430,AT1G76470,AT5G66170,,
633,AT5G02490,AT1G01190,,AT5G41040,ATMG00060,AT5G14390,,
634,AT5G47370,AT4G39670,,AT1G72490,AT2G18193,AT1G56720,,
635,AT2G07671,AT4G16515,,AT3G55060,AT1G13480,AT1G48130,,
636,AT5G09540,AT5G10605,,AT1G59850,AT4G14940,AT5G52640,,
637,AT1G62280,AT1G10800,,AT5G41400,AT2G41480,AT4G20880,,
638,AT4G14930,AT1G07410,,AT1G14080,AT5G14360,AT5G16600,,
639,AT1G44830,AT5G25370,,AT5G66040,AT4G04940,AT3G13857,,
640,AT4G18670,AT1G02850,,AT3G02110,AT4G36230,AT4G30960,,
641,AT2G36040,AT2G32190,,AT4G31590,AT5G63450,AT2G30550,,
